label,text
spam,"Hi …Sanjana Swiftly reconfirm your personal cell# Thanks!"
spam,"Sanjana Kindly re-confirm me with your cellphone# …and look forward for my text Kind Regards."
ham,"Hi Sanjana Mahantesh Gadaginmath, You&#39;ve successfully enabled Authenticator app as a multi-facto"
spam,"Sanjana Kindly re-confirm your cell number"
spam,"Sanjana Are you free at the moment? Kindly re-affirm your active mobile number and keep a lookout"
ham,"Hi Sanjana Mahantesh Gadaginmath, There&#39;s been a new sign-in to your Zoho account"
ham,"How to get the most out of Miro — let's go."
spam,"Hey Sanjana Kindly email me your cellphone#.....Talk to you soon on text Regards"
spam,"Sanjana Kindly re-confirm me your cellphone# …and look forward to my text Well wishes."
ham,"Mahesh Jammalamadaka invited you to join them in Jira"
ham,"Mahesh Jammalamadaka *created an issue*."
ham, "Hey there and welcome on board!"
ham, "Tempo Email Template The current period is closing soon You still have 40 hours to log in Tempo."
ham, "Welcome to Firebase! View our web version if this email isn't displaying well. Welcome to Firebase"